,album,artist,date,genre,label,score
213,Fetti,"Freddie Gibbs,Curren$y,The Alchemist",November 14 2018,Rap,"ESGN,Jet Life,ALC,EMPIRE",8.0
214,This Is My Dinner,Sun Kil Moon,November 14 2018,Folk/Country,Caldo Verde,2.8
215,White Bronco,Action Bronson,November 6 2018,Rap,EMPIRE,5.1
216,Interstate Gospel,Pistol Annies,November 5 2018,Folk/Country,RCA Records Nashville,8.0
217,"I Can See My House From Here,Double Thriller,The Glands,Double Coda","The Glands,The Glands,The Glands,The Glands",November 15 2018,Rock,"New West,New West,New West,New West","8.5,7.9,8.7,7.6"
218,Passion,Demdike Stare,November 15 2018,Electronic,Modern Love,8.0
219,"More Blood, More Tracks: The Bootleg Series Vol. 14",Bob Dylan,November 7 2018,Rock,"Columbia,Legacy",8.5
220,Lost EP,Brent Faiyaz  ,November 6 2018,Pop/R&B,Lost Kids,6.6
221,Not All Heroes Wear Capes,Metro Boomin,November 7 2018,Rap,Republic,7.7
222,Wild Yout EP,Flohio,November 8 2018,Rap,Alpha,6.8
223,Overload,Georgia Anne Muldrow,November 6 2018,Pop/R&B,Brainfeeder,8.0
224,The Last Rocket,Takeoff,November 7 2018,Rap,Quality Control,7.7
225,Two Houses EP,1010 Benja SL,November 7 2018,"Pop/R&B,Electronic",Young Turks,7.9
226,Simulation Theory,Muse,November 15 2018,Rock,Warner Bros.,6.0
227,OX,Matt Ox,November 8 2018,Rap,"UMG,Motown",5.6
228,Eden,CupcakKe,November 15 2018,Rap,Self-released,7.9
229,Towards the Shadow,Wume,November 16 2018,Experimental,Northern Spy,7.5
230,Heart Shaped Bed,Nicole Dollanganger,November 8 2018,Rock,"Crystal Math,Eerie Organization",6.0
231,A Love Letter to You 3,Trippie Redd,November 16 2018,Rap,"10K Projects,Caroline",6.6
232,Sujud,Senyawa,November 16 2018,Experimental,Sublime Frequencies,7.6
233,Jazz in Detroit / Strata Concert Gallery / 46 Selden,Charles Mingus,November 17 2018,Jazz,"BBE,180 Proof,Strata",8.6
234,Oxnard,Anderson .Paak,November 16 2018,Pop/R&B,Aftermath,7.0
235,Hated: 2008-2011,The Men,November 17 2018,Rock,Sacred Bones,7.4
236,Black Velvet,Charles Bradley,November 17 2018,Pop/R&B,"Dunham,Daptone",6.6
237,Cocoon Crush,Objekt,November 17 2018,Electronic,Pan,8.0
238,Pieces of a Man,Mick Jenkins,October 30 2018,Rap,Cinematic,7.6
239,Negative Capability,Marianne Faithfull,November 19 2018,Rock,Panta Rei,8.0
240,Hellboy,Lil Peep,November 18 2018,Rap,Self-released,8.5
241,If Only There Was a River,Anna St. Louis ,October 30 2018,Folk/Country,"Woodsist,Mare",7.5
242,Siblings,Colin Self,October 30 2018,Experimental,Rvng Intl.,8.0
243,Halloween: Original Motion Picture Soundtrack,"John Carpenter,Cody Carpenter,Daniel Davies",October 30 2018,Experimental,Sacred Bones,7.4
244,Premonitions,Miya Folick  ,November 1 2018,Rock,"Terrible,Interscope",8.1
245,Mona Lisa,"Apollo Brown,Joell Ortiz",October 31 2018,Rap,Mello Music Group,6.7
246,BALLADS 1,Joji,October 31 2018,Pop/R&B,88rising,6.7
247,Deerhoof Plays Music of the Shining,Deerhoof,October 31 2018,Experimental,Famous Class,7.1
248,9,Saves the Day,November 1 2018,Rock,Equal Vision,3.5
249,R.E.M. at the BBC,R.E.M.,November 1 2018,Rock,Craft,7.4
250,Primary Progressive,Mr. Mitch,November 1 2018,Electronic,Gobstopper,7.7
251,Saturn,Nao,October 31 2018,Pop/R&B,Little Tokyo,7.7
252,Stay Down,Two Lone Swordsmen,June 22 1999,Electronic,"Matador,Warp",9.3
253,Ximer EP,Takako Minekawa,June 22 1999,Electronic,"Emperor Norton,Emperor Norton",7.1
254,Rest Proof Clockwork,Plaid,June 21 1999,Electronic,"Interscope,Warp,Nothing",8.4
